11001000987013,06/01/19,AM,DB
11001000987014,06/02/19,AM,DB
11001000987015,06/03/19,AM,DB
11001000987016,06/04/19,AM,DB
11001000987017,06/05/19,AM,DB
11001000987019,06/06/19,AM,DB
11001000987023,06/07/19,AM,DB
11001000987022,06/08/19,AM,DB
11001000987021,06/09/19,AM,DB
11001000987020,06/10/19,AM,DB
11001000987022,06/11/19,AM,DB
11001000987025,06/12/19,AM,DB
11001000987026,06/13/19,AM,DB
11001000987027,06/14/19,AM,DB
11001000987028,06/15/19,AM,DB
11001000987029,06/16/19,AM,DB
11001000987033,06/17/19,AM,DB
11001000987034,06/01/19,AM,GD
11001000987036,06/02/19,AM,GD
11001000987044,06/03/19,AM,GD
11001000987045,06/04/19,AM,GD
11001000987046,06/05/19,AM,GD
11001000987047,06/06/19,AM,GD
11001000987048,06/07/19,AM,GD
11001000987049,06/08/19,AM,HH
11001000987050,06/09/19,AM,HH
11001000987041,06/10/19,AM,HH
11001000987051,06/11/19,AM,HH
11001000987052,06/12/19,AM,HH
11001000987053,06/12/19,AM,HH
11001000987015,06/12/19,AM,HH
11001000987015,06/12/19,AM,HH
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
11001000987015,06/12/19,AM,DB
