11001000912342, 06/18/19,EAM,DB
11001000912343, 06/18/19,EAM,DB
11001000912344, 06/18/19,EAM,DB
11001000912345, 06/18/19,EAM,DB
11001000912346, 06/18/19,EAM,DB
11001000912347, 06/18/19,EAM,DB
11001000912348, 06/18/19,EAM,DB
11001000912349, 06/18/19,EAM,DB
11001000912350, 06/18/19,EAM,DB
11001000912351, 06/18/19,EAM,DB
11001000912352, 06/18/19,EAM,DB
11001000912353, 06/18/19,EAM,DB
11001000912354, 06/18/19,EAM,DB
11001000912355, 06/18/19,EAM,DB
11001000912356, 06/18/19,EAM,DB
11001000912357, 06/18/19,EAM,HH
11001000912358, 06/19/19,EAM,HH
11001000912359, 06/19/19,EAM,HH
11001000912360, 06/19/19,EAM,HH
11001000912361, 06/19/19,EAM,HH
11001000912362, 06/19/19,EAM,HH
11001000912363, 06/19/19,AM,HH
11001000912364, 06/19/19,AM,HH
11001000912365, 06/19/19,AM,HH
11001000912366, 06/19/19,AM,HH
11001000912367, 06/19/19,AM,HH
11001000912368, 06/19/19,AM,HH
11001000912369, 06/19/19,AM,HH
11001000912370, 06/19/19,AM,HH
11001000912371, 06/19/19,AM,HH
11001000912372, 06/19/19,AM,HH
11001000912373, 06/19/19,AM,HH
11001000912374, 06/19/19,AM,HH
11001000912375, 06/19/19,AM,HH
11001000912376, 06/19/19,AM,HH
11001000912377, 06/19/19,AM,GD
11001000912378, 06/19/19,AM,GD
11001000912379, 06/19/19,AM,GD
11001000912380, 06/19/19,AM,GD
11001000912381, 06/19/19,AM,GD
11001000912382, 06/19/19,AM,GD
11001000912383, 06/19/19,AM,GD
11001000912384, 06/19/19,AM,GD
11001000912385, 06/19/19,AM,GD
